[32mresult: 0.0202103, ground_truth: 0.019206
result: -0.217503, ground_truth: -0.217131
result: -0.115421, ground_truth: -0.115236
result: -0.0537682, ground_truth: -0.0537777
result: 0.21851, ground_truth: 0.219757
result: -0.0355759, ground_truth: -0.0355825
result: -0.034565, ground_truth: -0.0345716
result: 0.231247, ground_truth: 0.231483
result: -0.0596313, ground_truth: -0.0590343
result: 0.201733, ground_truth: 0.201764
result: -0.136444, ground_truth: -0.136868
result: 0.103695, ground_truth: 0.104521
result: -0.117847, ground_truth: -0.117662
result: -0.0426521, ground_truth: -0.0430622
result: 0.0675125, ground_truth: 0.067524
result: 0.0850983, ground_truth: 0.0847082
result: -0.101677, ground_truth: -0.100478
result: 0.128155, ground_truth: 0.128377
result: 0.131592, ground_truth: 0.13141
result: 0.0861092, ground_truth: 0.0849104
result: -0.310688, ground_truth: -0.310937
result: 0.0440636, ground_truth: 0.04387
result: -0.0210228, ground_truth: -0.0204191
result: -0.00424576, ground_truth: -0.00404358
result: -0.134624, ground_truth: -0.135859
result: 0.149178, ground_truth: 0.150211
result: -0.0483131, ground_truth: -0.0481167
result: 0.0711517, ground_truth: 0.0715675
result: -0.04245, ground_truth: -0.0422535
result: -0.102283, ground_truth: -0.100883
result: 0.0978317, ground_truth: 0.0976477
result: -0.272888, ground_truth: -0.272726
result: -0.239738, ground_truth: -0.240379

BUS_TOT_W=38 BUS_INT_W=18 RMSE=0.000546306
[0m[35mattention_dut       : [0m[35m     1 calls; [0m[35m 10.698 msecs total time
[0m
