[32mresult: -0.0192451, ground_truth: -0.0193462
result: -0.0409584, ground_truth: -0.0410595
result: -0.0479546, ground_truth: -0.0477486
result: -0.0522766, ground_truth: -0.0524817
result: -0.0503197, ground_truth: -0.0503206
result: 0.0878792, ground_truth: 0.0875711
result: -0.0598907, ground_truth: -0.0597878
result: -0.0275803, ground_truth: -0.0273733
result: 0.00226212, ground_truth: 0.00205803
result: 0.0387917, ground_truth: 0.0386915
result: -0.0378685, ground_truth: -0.0382814
result: 0.0309715, ground_truth: 0.0311794
result: -0.0512466, ground_truth: -0.0514526
result: 0.0804672, ground_truth: 0.080162
result: -0.0171852, ground_truth: -0.0170822
result: -0.00761414, ground_truth: -0.00782108
result: 0.0250053, ground_truth: 0.0249023
result: -0.0277863, ground_truth: -0.0280933
result: 0.00905228, ground_truth: 0.00874615
result: 0.0369415, ground_truth: 0.0364275
result: -0.0216103, ground_truth: -0.0220222
result: 0.0491867, ground_truth: 0.0490847
result: 0.0343666, ground_truth: 0.0343695
result: 0.00925827, ground_truth: 0.00905514
result: -0.0368385, ground_truth: -0.0370464
result: 0.0305595, ground_truth: 0.0308714
result: -0.0276833, ground_truth: -0.0277843
result: 0.069458, ground_truth: 0.0697689
result: 0.0157433, ground_truth: 0.0160522
result: 0.00864029, ground_truth: 0.00874615
result: -0.0273743, ground_truth: -0.0277843
result: -0.0323143, ground_truth: -0.0322094
result: 0.13686, ground_truth: 0.136863
result: 0.0413666, ground_truth: 0.0415726
result: -0.00432205, ground_truth: -0.00473404
result: 0.00360107, ground_truth: 0.00288105
result: 0.00503922, ground_truth: 0.00524807
result: -0.0171852, ground_truth: -0.0169802
result: -0.0611267, ground_truth: -0.0609198
result: 0.00617218, ground_truth: 0.00596809
result: -0.0146141, ground_truth: -0.0146132
result: 0.00143814, ground_truth: 0.00113106
result: 0.00195313, ground_truth: 0.00216007
result: 0.064621, ground_truth: 0.0648298
result: -0.0213013, ground_truth: -0.0215073
result: 0.00524521, ground_truth: 0.00493908
result: -0.000823975, ground_truth: -0.000720978
result: 0.000717163, ground_truth: 0.000308037
result: -0.00802612, ground_truth: -0.00802708
result: -0.0117302, ground_truth: -0.0117311
result: 0.0594749, ground_truth: 0.0597868
result: 0.0254135, ground_truth: 0.0258284
result: -0.0275803, ground_truth: -0.0277843
result: -0.0128632, ground_truth: -0.0127611
result: 0.106503, ground_truth: 0.106505
result: 0.0585518, ground_truth: 0.0581408
result: -0.0390015, ground_truth: -0.0387955
result: -0.0152321, ground_truth: -0.0152302
result: 0.0257225, ground_truth: 0.0260344
result: 0.0183144, ground_truth: 0.0181103
result: -0.0442505, ground_truth: -0.0445585
result: -0.0612297, ground_truth: -0.0613317
result: -0.00452805, ground_truth: -0.00452805
result: -0.0216103, ground_truth: -0.0218163
result: -0.0308723, ground_truth: -0.0305634
result: 0.0451736, ground_truth: 0.0454836
result: -0.0773849, ground_truth: -0.07687
result: -0.0419846, ground_truth: -0.0421915
result: -0.00946808, ground_truth: -0.00998211
result: 0.0155373, ground_truth: 0.0156412
result: -0.0434265, ground_truth: -0.0433235
result: -0.0401344, ground_truth: -0.0405445
result: -0.0610237, ground_truth: -0.0610228
result: -0.0157471, ground_truth: -0.0157452
result: -0.0221252, ground_truth: -0.0218163
result: -0.0100861, ground_truth: -0.0100851
result: 0.0240784, ground_truth: 0.0244904
result: -0.0568047, ground_truth: -0.0571127
result: -0.0211983, ground_truth: -0.0213022
result: 0.00411606, ground_truth: 0.00411606
result: -0.156826, ground_truth: -0.157034
result: -0.0211983, ground_truth: -0.0214043
result: -0.00761414, ground_truth: -0.00751209
result: 0.0463028, ground_truth: 0.0457926
result: 0.0385857, ground_truth: 0.0390005
result: -0.0173912, ground_truth: -0.0172882
result: 0.0758362, ground_truth: 0.075943
result: -0.00792313, ground_truth: -0.00771809
result: 0.0198593, ground_truth: 0.0199633
result: -0.0520706, ground_truth: -0.0520706
result: 0.0353966, ground_truth: 0.0361195
result: 0.075016, ground_truth: 0.075532
result: 0.0610199, ground_truth: 0.0611248
result: -0.0335464, ground_truth: -0.0333414
result: 0.0393066, ground_truth: 0.0396175
result: -0.0286064, ground_truth: -0.0285053
result: -0.0941582, ground_truth: -0.0940552
result: -0.0297394, ground_truth: -0.0299454
result: 0.0910683, ground_truth: 0.0910702
result: -0.0143051, ground_truth: -0.0139952
result: -0.0342674, ground_truth: -0.0342674
result: -0.0463066, ground_truth: -0.0462046
result: 0.0138893, ground_truth: 0.0142002
result: -0.00576401, ground_truth: -0.00566006
result: 0.0359116, ground_truth: 0.0358105
result: -0.00349808, ground_truth: -0.00329304
result: -0.00576401, ground_truth: -0.00555706
result: -0.0782089, ground_truth: -0.078208
result: 0.0182114, ground_truth: 0.0178022
result: 0.0371475, ground_truth: 0.0370455
result: -0.0202713, ground_truth: -0.0201702
result: 0.0297356, ground_truth: 0.0299444
result: 0.0210915, ground_truth: 0.0215063
result: 0.0100822, ground_truth: 0.00967216
result: 0.0275764, ground_truth: 0.0278864
result: -0.0137901, ground_truth: -0.0137901
result: 0.00936127, ground_truth: 0.00874615
result: -0.0785179, ground_truth: -0.079031
result: 0.063385, ground_truth: 0.0635948
result: -0.076458, ground_truth: -0.0765619
result: -0.0171852, ground_truth: -0.0172882
result: -0.0220222, ground_truth: -0.0220222
result: 0.0209923, ground_truth: 0.0209923
result: 0.0359116, ground_truth: 0.0358105
result: 0.119572, ground_truth: 0.119575
result: 0.139946, ground_truth: 0.140362
result: -0.0651398, ground_truth: -0.0649338
result: -0.0795441, ground_truth: -0.079752
result: 0.0149193, ground_truth: 0.0148182
result: -0.0320053, ground_truth: -0.0322094
result: 0.00246811, ground_truth: 0.00195503
result: 0.0492897, ground_truth: 0.0492907
result: 0.470165, ground_truth: 0.470172
result: 0.074604, ground_truth: 0.0745029
result: 0.0512428, ground_truth: 0.0518637
result: 0.0149193, ground_truth: 0.0148182
result: -0.00751114, ground_truth: -0.00741005
result: -0.00195694, ground_truth: -0.00216103
result: 0.10218, ground_truth: 0.102389
result: 0.0478477, ground_truth: 0.0475416
result: 0.0600929, ground_truth: 0.0603018
result: -0.0409584, ground_truth: -0.0409565
result: -0.104858, ground_truth: -0.105066
result: -0.00576401, ground_truth: -0.00535107
result: 0.0231514, ground_truth: 0.0230503
result: -0.00946808, ground_truth: -0.00905609
result: 0.00298309, ground_truth: 0.00319004
result: -0.0840721, ground_truth: -0.083765
result: 0.0305595, ground_truth: 0.0303564
result: 0.0130653, ground_truth: 0.0130682
result: 0.0168724, ground_truth: 0.0168762
result: -0.0742989, ground_truth: -0.0741949
result: -0.00977707, ground_truth: -0.00998211
result: -0.0149231, ground_truth: -0.0148191
result: -0.010704, ground_truth: -0.0108051
result: 0.0369415, ground_truth: 0.0363245
result: -0.0222282, ground_truth: -0.0219193
result: -0.0234642, ground_truth: -0.0233603
result: -0.0441475, ground_truth: -0.0443525
result: 0.0318985, ground_truth: 0.0320024
result: 0.0783081, ground_truth: 0.07831
result: 0.0477448, ground_truth: 0.0471296
result: 0.063385, ground_truth: 0.0633888
result: 0.0242844, ground_truth: 0.0241823
result: -0.0660667, ground_truth: -0.0668888
result: 0.0655479, ground_truth: 0.0656528
result: 0.0113182, ground_truth: 0.0114222
result: 0.0267525, ground_truth: 0.0263433
result: 0.0252113, ground_truth: 0.0254173
result: 0.0382767, ground_truth: 0.0381775
result: 0.0111122, ground_truth: 0.0108042
result: 0.0416756, ground_truth: 0.0417786
result: 0.00689316, ground_truth: 0.00710011
result: 0.00956726, ground_truth: 0.00957012
result: 0.0430107, ground_truth: 0.0427046
result: 0.0124512, ground_truth: 0.0121422
result: 0.070488, ground_truth: 0.0703859
result: 0.0790291, ground_truth: 0.079442
result: 0.0240784, ground_truth: 0.0240793
result: 0.00493622, ground_truth: 0.00535011
result: 0.0312805, ground_truth: 0.0312824
result: -0.00442505, ground_truth: -0.00452805
result: 0.0593719, ground_truth: 0.0595818
result: 0.0153313, ground_truth: 0.0152292
result: 0.0413666, ground_truth: 0.0415726
result: -0.0278893, ground_truth: -0.0276823
result: -0.000205994, ground_truth: -0.00030899
result: 0.0245934, ground_truth: 0.0244904
result: -0.0279922, ground_truth: -0.0286083
result: 0.0583458, ground_truth: 0.0577288
result: -0.0208893, ground_truth: -0.0205812
result: 0.0669899, ground_truth: 0.0669909
result: -0.104652, ground_truth: -0.104551
result: 0.00637817, ground_truth: 0.00607109
result: 0.0324135, ground_truth: 0.0323114
result: -0.0127602, ground_truth: -0.0125551
result: 0.0555649, ground_truth: 0.0555677
result: -0.0481606, ground_truth: -0.0477486
result: -0.0916862, ground_truth: -0.0921001
result: -0.0521736, ground_truth: -0.0521736
result: -0.0461006, ground_truth: -0.0462046
result: 0.00894928, ground_truth: 0.00884914
result: -0.0480576, ground_truth: -0.0477486
result: 0.0503197, ground_truth: 0.0502167
result: -0.0670929, ground_truth: -0.0674028
result: 0.000717163, ground_truth: 0.000720024
result: -0.0142021, ground_truth: -0.0145102
result: 0.0489807, ground_truth: 0.0491877
result: -0.0307693, ground_truth: -0.0304604
result: -0.000823975, ground_truth: -0.000514984
result: 0.000408173, ground_truth: 0.000720024
result: 0.00318909, ground_truth: 0.00298405
result: -0.0616417, ground_truth: -0.0611258
result: -0.0592728, ground_truth: -0.0591707
result: -0.0358124, ground_truth: -0.0359144
result: 0.0466118, ground_truth: 0.0466156
result: -0.0405464, ground_truth: -0.0404425
result: -0.0409584, ground_truth: -0.0407505
result: -0.0216103, ground_truth: -0.0219193
result: -0.0985832, ground_truth: -0.0987892
result: 0.0126534, ground_truth: 0.0125542
result: 0.0609169, ground_truth: 0.0608158
result: -0.00740814, ground_truth: -0.00782108
result: 0.0300446, ground_truth: 0.0299444
result: -0.0684319, ground_truth: -0.0679178
result: 0.00606918, ground_truth: 0.0058651
result: -0.075531, ground_truth: -0.0755329
result: 0.0302505, ground_truth: 0.0304594
result: 0.0994034, ground_truth: 0.0995083
result: 0.0274734, ground_truth: 0.0275784
result: 0.0757332, ground_truth: 0.075429
result: 0.0209923, ground_truth: 0.0206833
result: -0.00349808, ground_truth: -0.00360203
result: -0.121735, ground_truth: -0.121325
result: 0.0598869, ground_truth: 0.0596838
result: -0.0508347, ground_truth: -0.0509386
result: -0.0358124, ground_truth: -0.0360174
result: -0.0483665, ground_truth: -0.0478516
result: 0.00925827, ground_truth: 0.00946712
result: 0.0262375, ground_truth: 0.0258284
result: -0.0661697, ground_truth: -0.0663738
result: -0.0118332, ground_truth: -0.0117311
result: 0.0928154, ground_truth: 0.0922022
result: 0.0115242, ground_truth: 0.0114222
result: -0.0493965, ground_truth: -0.0494976
result: -0.0598907, ground_truth: -0.0599937
result: -0.0577316, ground_truth: -0.0577297
result: -0.0313873, ground_truth: -0.0308723
result: -0.0569077, ground_truth: -0.0571127
result: 0.0263405, ground_truth: 0.0264463
result: -0.0357094, ground_truth: -0.0359144
result: -0.0417786, ground_truth: -0.0418825
result: -0.0223312, ground_truth: -0.0219193
result: 0.0266495, ground_truth: 0.0263433
result: -0.0608177, ground_truth: -0.0611258
result: 0.00164413, ground_truth: 0.00164604
result: -0.0694618, ground_truth: -0.0694609
result: -0.0387955, ground_truth: -0.0390015
result: -0.0400314, ground_truth: -0.0402365
result: 0.0223274, ground_truth: 0.0222273
result: 0.0535088, ground_truth: 0.0535097
result: -0.0412636, ground_truth: -0.0416765
result: 0.0185204, ground_truth: 0.0181103
result: 0.0175934, ground_truth: 0.0179052
result: -0.0229492, ground_truth: -0.0227423
result: -0.00030899, ground_truth: 0.000102043
result: 0.0717201, ground_truth: 0.0719299
result: 0.0285034, ground_truth: 0.0287104
result: -0.00329208, ground_truth: -0.00267601
result: -0.0470276, ground_truth: -0.0473366
result: -0.01091, ground_truth: -0.0113201
result: 0.0726471, ground_truth: 0.072753
result: 0.0238724, ground_truth: 0.0243883
result: -0.00905609, ground_truth: -0.0088501
result: 0.0288124, ground_truth: 0.0282984
result: -0.0223312, ground_truth: -0.0224333
result: 0.0873642, ground_truth: 0.0873652
result: -0.0193481, ground_truth: -0.0194492
result: -0.00782013, ground_truth: -0.00792408
result: -0.0222282, ground_truth: -0.0222282
result: -0.0338554, ground_truth: -0.0332384
result: 0.0507278, ground_truth: 0.0509377
result: 0.064724, ground_truth: 0.0646238
result: 0.0160522, ground_truth: 0.0159492
result: -0.0374565, ground_truth: -0.0376635
result: 0.0114212, ground_truth: 0.0111132
result: 0.00668716, ground_truth: 0.00699711
result: -0.0204773, ground_truth: -0.0202723
result: 0.0266495, ground_truth: 0.0263433
result: -0.011219, ground_truth: -0.0111141
result: -0.00473404, ground_truth: -0.00432205
result: 0.0224304, ground_truth: 0.0224323
result: -0.0479546, ground_truth: -0.0477486
result: -0.00360107, ground_truth: -0.00360203
