[32mresult: -0.05933, ground_truth: -0.0193461
result: -0.315254, ground_truth: 0.0535105
result: -0.132, ground_truth: -0.0416764
result: -0.359138, ground_truth: 0.0181112
result: -0.133755, ground_truth: 0.0179054
result: -0.262421, ground_truth: -0.0227419
result: 0.26347, ground_truth: 0.000102893
result: -0.0705643, ground_truth: 0.0719304
result: -0.0847816, ground_truth: 0.0287104
result: 0.0940819, ground_truth: -0.00267553
result: -0.0154495, ground_truth: -0.0473362
result: -0.321575, ground_truth: -0.0113195
result: 0.217304, ground_truth: 0.0727537
result: -0.07267, ground_truth: 0.0243884
result: 0.351761, ground_truth: -0.00884981
result: 0.00684357, ground_truth: 0.0282988
result: -0.237846, ground_truth: -0.0224332
result: -0.255924, ground_truth: 0.0873661
result: 0.25399, ground_truth: -0.019449
result: -0.100582, ground_truth: -0.00792366
result: -0.244164, ground_truth: -0.0222274
result: 0.263645, ground_truth: -0.0332382
result: 0.206947, ground_truth: 0.0509378
result: -0.274708, ground_truth: 0.0646242
result: -0.0614357, ground_truth: 0.0159502
result: 0.287868, ground_truth: -0.0376631
result: -0.331226, ground_truth: 0.0111137
result: -0.0549431, ground_truth: 0.00699751
result: 0.0960121, ground_truth: -0.0202722
result: 0.324203, ground_truth: 0.0263436
result: -0.318237, ground_truth: -0.0111137
result: -0.355976, ground_truth: -0.00432201
result: -0.0121117, ground_truth: 0.0224332
result: -0.121994, ground_truth: -0.0477478
result: -0.202038, ground_truth: -0.00360167
result: 0.271542, ground_truth: -0.0428084
result: -0.0407257, ground_truth: -0.00401329
result: -0.0277367, ground_truth: -0.0154357
result: -0.0145721, ground_truth: -0.0300482
result: -0.304722, ground_truth: 0.0622574
result: -0.0867157, ground_truth: 0.0396183
result: 0.229942, ground_truth: -0.0249029
result: -0.0842552, ground_truth: -0.0109079
result: 0.134979, ground_truth: 0.0478507
result: -0.291733, ground_truth: 0.0560831
result: 0.298576, ground_truth: -0.0153328
result: 0.00579071, ground_truth: 0.0213013
result: -0.0951385, ground_truth: -0.00257263
result: 0.107246, ground_truth: 0.0491885
result: -0.231876, ground_truth: -0.0521727
result: 0.0842514, ground_truth: -0.00401329
result: 0.326309, ground_truth: -0.0679171
result: -0.227314, ground_truth: 0.038898
result: 0.129189, ground_truth: 0.037766
result: -0.354221, ground_truth: -0.0322092
result: 0.0707359, ground_truth: 0.0330324
result: 0.106369, ground_truth: 0.00401327
result: -0.187645, ground_truth: 0.034576
result: 0.246616, ground_truth: 0.0580383
result: -0.0154495, ground_truth: -0.0710043
result: -0.106373, ground_truth: -0.096113
result: 0.176933, ground_truth: -0.0415735
result: 0.0654716, ground_truth: -0.0168764
result: -0.334915, ground_truth: -0.0644184
result: 0.233452, ground_truth: -0.0215071
result: -0.295944, ground_truth: 0.0382806
result: -0.359489, ground_truth: 0.090762
result: -0.0468674, ground_truth: -0.00565977
result: -0.104267, ground_truth: 0.0363254
result: 0.132172, ground_truth: 0.04322
result: -0.265404, ground_truth: -0.0562889
result: -0.274357, ground_truth: 0.0314889
result: 0.202034, ground_truth: 0.0409561
result: -0.213448, ground_truth: -0.0128631
result: -0.278217, ground_truth: 0.0198606
result: 0.0296631, ground_truth: -0.0222274
result: -0.143936, ground_truth: 0.0275785
result: -0.015274, ground_truth: 0.0227419
result: -0.254871, ground_truth: -0.0717246
result: 0.132172, ground_truth: 0.0849993
result: 0.332626, ground_truth: -0.200664
result: -0.0928574, ground_truth: -0.00967306
result: -0.123753, ground_truth: 0.032415
result: 0.0296631, ground_truth: -0.0339586
result: -0.0665283, ground_truth: 0.00504233
result: 0.248024, ground_truth: 0.037766
result: 0.28857, ground_truth: 0.0158473
result: -0.0243988, ground_truth: -0.00391039
result: 0.0131645, ground_truth: -0.0202722
result: 0.232399, ground_truth: -0.0520698
result: -0.0175552, ground_truth: 0.0379718
result: 0.114094, ground_truth: -0.0162589
result: -0.128666, ground_truth: 0.0179054
result: 0.332802, ground_truth: 0.0489827
result: -0.0258064, ground_truth: -0.0508349
result: -0.0266838, ground_truth: -0.00936434
result: 0.148323, ground_truth: 0.0386922
result: 0.0193062, ground_truth: 0.0663736
result: 0.275757, ground_truth: -0.0515553
