[32mresult: -0.0195465, ground_truth: -0.0193481
result: -0.050827, ground_truth: -0.0520782
result: 0.0347748, ground_truth: 0.0361176
result: 0.0757294, ground_truth: 0.075531
result: 0.0618286, ground_truth: 0.0611115
result: -0.0316772, ground_truth: -0.0333557
result: 0.040329, ground_truth: 0.0396118
result: -0.028183, ground_truth: -0.0285187
result: -0.0948639, ground_truth: -0.0940552
result: -0.0292206, ground_truth: -0.029953
result: 0.090744, ground_truth: 0.0910645
result: -0.0142975, ground_truth: -0.0140076
result: -0.0357971, ground_truth: -0.0342712
result: -0.0452728, ground_truth: -0.0462189
result: 0.0138855, ground_truth: 0.0141907
result: -0.00575256, ground_truth: -0.00566101
result: 0.0359039, ground_truth: 0.0357971
result: -0.00328064, ground_truth: -0.0032959
result: -0.00596619, ground_truth: -0.00556946
result: -0.0779877, ground_truth: -0.0782166
result: 0.0180969, ground_truth: 0.0177917
result: 0.0362091, ground_truth: 0.0370331
result: -0.0198517, ground_truth: -0.0201721
result: 0.0307617, ground_truth: 0.0299377
result: 0.021698, ground_truth: 0.0214996
result: 0.00904846, ground_truth: 0.00965881
result: 0.026535, ground_truth: 0.0278778
result: -0.0140839, ground_truth: -0.0137939
result: 0.00904846, ground_truth: 0.00874329
result: -0.0795288, ground_truth: -0.0790405
result: 0.0635834, ground_truth: 0.0635834
result: -0.0760345, ground_truth: -0.0765686
result: -0.0169678, ground_truth: -0.0172882
result: -0.0213928, ground_truth: -0.0220337
result: 0.0213928, ground_truth: 0.0209808
result: 0.0367279, ground_truth: 0.0357971
result: 0.121201, ground_truth: 0.119568
result: 0.14003, ground_truth: 0.14035
result: -0.0644073, ground_truth: -0.0649414
result: -0.079834, ground_truth: -0.0797577
result: 0.0147095, ground_truth: 0.0148163
result: -0.0317841, ground_truth: -0.0322113
result: 0.0022583, ground_truth: 0.00195313
result: 0.0491791, ground_truth: 0.0492859
result: 0.469604, ground_truth: 0.470169
result: 0.0747986, ground_truth: 0.0744934
result: 0.0527802, ground_truth: 0.0518494
result: 0.0154266, ground_truth: 0.0148163
result: -0.00801086, ground_truth: -0.00741577
result: -0.00318909, ground_truth: -0.00216675
result: 0.102783, ground_truth: 0.102386
result: 0.0476379, ground_truth: 0.0475311
result: 0.0597687, ground_truth: 0.0602875
result: -0.0410461, ground_truth: -0.0409698
result: -0.104218, ground_truth: -0.105072
result: -0.00564575, ground_truth: -0.00535583
result: 0.0226288, ground_truth: 0.0230408
result: -0.0101776, ground_truth: -0.00906372
result: 0.00328064, ground_truth: 0.00318909
result: -0.0829315, ground_truth: -0.0837708
result: 0.0306549, ground_truth: 0.0303497
result: 0.0130615, ground_truth: 0.0130615
result: 0.0177917, ground_truth: 0.0168762
result: -0.0744934, ground_truth: -0.0742035
result: -0.0102844, ground_truth: -0.00999451
result: -0.0153198, ground_truth: -0.0148315
result: -0.0108948, ground_truth: -0.0108185
result: 0.0361023, ground_truth: 0.0363159
result: -0.0222168, ground_truth: -0.0219269
result: -0.0234528, ground_truth: -0.0233612
result: -0.0448608, ground_truth: -0.0443573
result: 0.0320892, ground_truth: 0.0319977
result: 0.0783997, ground_truth: 0.0783081
result: 0.0478363, ground_truth: 0.0471191
result: 0.0627594, ground_truth: 0.063385
result: 0.0249939, ground_truth: 0.0241699
result: -0.0670776, ground_truth: -0.0668945
result: 0.0659485, ground_truth: 0.0656433
result: 0.0103912, ground_truth: 0.0114136
result: 0.0268555, ground_truth: 0.0263367
result: 0.0252075, ground_truth: 0.0254059
result: 0.0387878, ground_truth: 0.0381775
result: 0.0111084, ground_truth: 0.0108032
result: 0.0424805, ground_truth: 0.0417786
result: 0.0072937, ground_truth: 0.00709534
result: 0.00883484, ground_truth: 0.00956726
result: 0.0428009, ground_truth: 0.0426941
result: 0.0130615, ground_truth: 0.0121307
result: 0.0702667, ground_truth: 0.0703735
result: 0.079422, ground_truth: 0.0794373
result: 0.0237579, ground_truth: 0.0240784
result: 0.00462341, ground_truth: 0.00534058
result: 0.0305481, ground_truth: 0.0312805
result: -0.00379944, ground_truth: -0.00453186
result: 0.0587463, ground_truth: 0.0595703
result: 0.0157318, ground_truth: 0.0152283
result: 0.040741, ground_truth: 0.0415649
result: -0.0276642, ground_truth: -0.0276947
result: -0.000610352, ground_truth: -0.000320435
result: 0.0244751, ground_truth: 0.0244904
result: -0.0282898, ground_truth: -0.0286102
result: 0.0572052, ground_truth: 0.057724
result: -0.0190277, ground_truth: -0.0205841
result: 0.0667725, ground_truth: 0.0669861
result: -0.105453, ground_truth: -0.104553
result: 0.00627136, ground_truth: 0.00605774
result: 0.0332336, ground_truth: 0.0323029
result: -0.0124359, ground_truth: -0.012558
result: 0.0553436, ground_truth: 0.0555573
result: -0.0475311, ground_truth: -0.04776
result: -0.0916748, ground_truth: -0.0921021
result: -0.0531921, ground_truth: -0.0521851
result: -0.0457764, ground_truth: -0.0462189
result: 0.00935364, ground_truth: 0.00883484
result: -0.0481415, ground_truth: -0.04776
result: 0.0502014, ground_truth: 0.0502167
result: -0.0665588, ground_truth: -0.0674133
result: 0, ground_truth: 0.000717163
result: -0.0152283, ground_truth: -0.0145111
result: 0.0496979, ground_truth: 0.0491791
result: -0.0302429, ground_truth: -0.0304718
result: -0.0012207, ground_truth: -0.000518799
result: 0.00050354, ground_truth: 0.000717163
result: 0.00195313, ground_truth: 0.00297546
result: -0.0614166, ground_truth: -0.0611267
result: -0.0594635, ground_truth: -0.0591736
result: -0.0355988, ground_truth: -0.0359192
result: 0.0471191, ground_truth: 0.0466156
result: -0.0409393, ground_truth: -0.040451
result: -0.0414581, ground_truth: -0.0407562
result: -0.021698, ground_truth: -0.0219269
result: -0.098465, ground_truth: -0.0988007
result: 0.0132599, ground_truth: 0.0125427
result: 0.0602875, ground_truth: 0.0608063
result: -0.00740051, ground_truth: -0.00782776
result: 0.0303497, ground_truth: 0.0299377
result: -0.0683136, ground_truth: -0.0679321
result: 0.00575256, ground_truth: 0.00585938
result: -0.0746918, ground_truth: -0.0755463
result: 0.0291138, ground_truth: 0.0304565
result: 0.098877, ground_truth: 0.0995026
result: 0.0278778, ground_truth: 0.0275726
result: 0.0753174, ground_truth: 0.0754242
result: 0.020462, ground_truth: 0.0206757
result: -0.00236511, ground_truth: -0.00361633
result: -0.121613, ground_truth: -0.121338
result: 0.0606995, ground_truth: 0.0596771
result: -0.050827, ground_truth: -0.0509491
result: -0.0354919, ground_truth: -0.036026
result: -0.0475311, ground_truth: -0.0478516
result: 0.00904846, ground_truth: 0.00946045
result: 0.026535, ground_truth: 0.0258179
result: -0.0659485, ground_truth: -0.0663757
result: -0.0113068, ground_truth: -0.011734
result: 0.09198, ground_truth: 0.0921936
result: 0.0105896, ground_truth: 0.0114136
result: -0.0494843, ground_truth: -0.0494995
result: -0.0614166, ground_truth: -0.0599976
result: -0.0580292, ground_truth: -0.0577393
result: -0.0309601, ground_truth: -0.0308838
result: -0.057312, ground_truth: -0.0571136
result: 0.0266418, ground_truth: 0.0264435
result: -0.0353851, ground_truth: -0.0359192
result: -0.0424805, ground_truth: -0.0418854
result: -0.022934, ground_truth: -0.0219269
result: 0.0267487, ground_truth: 0.0263367
result: -0.0599823, ground_truth: -0.0611267
result: 0.00204468, ground_truth: 0.00163269
result: -0.0699615, ground_truth: -0.0694733
result: -0.0388794, ground_truth: -0.0390015
result: -0.040329, ground_truth: -0.0402374
result: 0.0220184, ground_truth: 0.0222168
result: 0.0531921, ground_truth: 0.0534973
result: -0.0412598, ground_truth: -0.041687
result: 0.0182037, ground_truth: 0.0180969
result: 0.0170746, ground_truth: 0.0178986
